class	class label	textdef	rhea	ec	metacyc
GO:0035400	histone tyrosine kinase activity	Catalysis of the transfer of a phosphate group to a tyrosine residue of a histone. Histones are any of a group of water-soluble proteins found in association with the DNA of eukaroytic  chromosomes.			
GO:0004723	calcium-dependent protein serine/threonine phosphatase activity	Catalysis of the reactions: protein serine phosphate + H2O = protein serine + phosphate; and protein threonine phosphate + H2O = protein threonine + phosphate. These reactions require the presence of calcium ions.			
GO:0004724	magnesium-dependent protein serine/threonine phosphatase activity	Catalysis of the reactions: protein serine phosphate + H2O = protein serine + phosphate; and protein threonine phosphate + H2O = protein threonine + phosphate. These reactions require the presence of magnesium.			
GO:1990439	MAP kinase serine/threonine phosphatase activity	Catalysis of the reaction: MAP kinase threonine phosphate + H2O = MAP kinase threonine + phosphate and MAP kinase serine phosphate + H2O = MAP kinase serine + phosphate.			
GO:0005001	transmembrane receptor protein tyrosine phosphatase activity	Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: protein tyrosine phosphate + H2O = protein tyrosine + phosphate.			
GO:0030945	protein tyrosine phosphatase activity, via thiol-phosphate intermediate	The catalysis of phosphate removal from a phosphotyrosine using cysteine as a nucleophile and proceed by means of a thiol-phosphate intermediate.			
GO:0019702	protein-arginine N5-methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to the delta-nitrogen atom of peptidyl-arginine residues. The reaction is S-adenosyl-L-methionine + [protein]-L-arginine = S-adenosyl-L-homocysteine + [protein]-N5-methyl-L-arginine.		EC:2.1.1.322	
GO:0035241	protein-arginine omega-N monomethyltransferase activity	Catalysis of the addition of a methyl group to either of the unmethylated terminal nitrogen atoms (also called omega nitrogen) in peptidyl-arginine to form an omega-N-G-monomethylated arginine residue.  The reaction is S-adenosyl-L-methionine + [protein]-L-arginine = S-adenosyl-L-homocysteine + [protein]-Nomega-methyl-L-arginine.			
GO:0035242	protein-arginine omega-N asymmetric methyltransferase activity	Catalysis of the addition of a second methyl group to methylated peptidyl-arginine. Methylation is on the same terminal nitrogen (omega nitrogen) residue that was previously methylated, resulting in asymmetrical peptidyl-N(omega),N(omega)-dimethylated arginine residues.			
GO:0035243	protein-arginine omega-N symmetric methyltransferase activity	Catalysis of the addition of a second methyl group to methylated peptidyl-arginine. Methylation is on the terminal nitrogen (omega nitrogen) residue that is not already methylated, resulting in symmetrical peptidyl-N(omega),N'(omega)-dimethyled arginine residues.			
GO:0003880	protein C-terminal carboxyl O-methyltransferase activity	Catalysis of the transfer of a methyl group to the oxygen atom of a carboxyl group at the C-terminal of a protein.			
GO:0004662	CAAX-protein geranylgeranyltransferase activity	Catalysis of the reaction: geranylgeranyl diphosphate + protein-cysteine = S-geranylgeranyl-protein + diphosphate. This reaction is the formation of a thioether linkage between the C-1 atom of the geranylgeranyl group and a cysteine residue fourth from the C-terminus of the protein. The protein substrates have the C-terminal sequence CA1A2X, where the terminal residue, X, is preferably leucine and A2 should not be aromatic. Known substrates include most g-subunits of heterotrimeric G proteins and Ras-related GTPases such as members of the Ras and Rac/Rho families.		EC:2.5.1.59	MetaCyc:2.5.1.60-RXN|MetaCyc:RXN-3701
GO:0004663	Rab geranylgeranyltransferase activity	Catalysis of the reaction: 2 geranylgeranyl diphosphate + protein-cysteine = 2 S-geranylgeranyl-protein + 2 diphosphate. This reaction is the formation of two thioether linkages between the C-1 atom of the geranylgeranyl groups and two cysteine residues within the terminal sequence motifs XXCC, XCXC or CCXX. Known substrates include Ras-related GTPases of a single family and the Rab family.		EC:2.5.1.60	MetaCyc:2.5.1.60-RXN|MetaCyc:RXN-3701
GO:0103044	ribosomal protein S6 glutamate-glutamate ligase activity	Catalysis of the reaction: L-glutamate + ATP + a [protein] C-terminal L-glutamate = ADP + hydrogenphosphate + H+ + a [protein] with C-terminal alpha-L-glutamate-alpha-L-glutamate			MetaCyc:RXN0-6726
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks.			
GO:0009381	excinuclease ABC activity	Catalysis of the hydrolysis of ester linkages within deoxyribonucleic acid at sites flanking regions of damaged DNA to which the Uvr ABC excinuclease complexes bind.			
GO:0015666	restriction endodeoxyribonuclease activity	Catalysis of endonucleolytic cleavage of DNA in a site-specific manner, resulting in double-strand breaks.			
GO:0016888	endodeoxyribonuclease activity, producing 5'-phosphomonoesters	Catalysis of the hydrolysis of ester linkages within deoxyribonucleic acids by creating internal breaks to yield 5'-phosphomonoesters.		EC:3.1.21	
GO:0016889	endodeoxyribonuclease activity, producing 3'-phosphomonoesters	Catalysis of the hydrolysis of ester linkages within deoxyribonucleic acids by creating internal breaks to yield 3'-phosphomonoesters.		EC:3.1.22	
GO:0016890	site-specific endodeoxyribonuclease activity, specific for altered base	Catalysis of the hydrolysis of ester linkages at specific sites within a deoxyribonucleic acid molecule by creating internal breaks.		EC:3.1.25	
GO:0043765	T/G mismatch-specific endonuclease activity	Catalysis of the repair of T/G mismatches arising from deamination of 5-methylcytosine in DNA by nicking double-stranded DNA within the sequence CT(AT)GN or NT(AT)GG next to the mismatched thymidine residue. The incision is mismatch-dependent and strand-specific, in favor of the G-containing strand. The incision serves as a starting point for subsequent excision repair by DNA polymerase I, which excises thymidine and reinserts cytidine.		EC:3.1	
GO:0044824	retroviral 3' processing activity	The catalysis of the removal of two di- or tri-nucleotides from each 3' end of double-stranded viral DNA, exposing recessed 3' hydroxyls.		EC:3.1	
GO:0048256	flap endonuclease activity	Catalysis of the cleavage of a flap structure in DNA, but not other DNA structures; processes the ends of Okazaki fragments in lagging strand DNA synthesis.			
GO:1990238	double-stranded DNA endodeoxyribonuclease activity	Catalysis of the hydrolysis of ester linkages within a double-stranded deoxyribonucleic acid molecule by creating internal breaks.			
GO:0016895	exodeoxyribonuclease activity, producing 5'-phosphomonoesters	Catalysis of the hydrolysis of ester linkages within deoxyribonucleic acids by removing nucleotide residues from the 3' or 5' end to yield 5' phosphomonoesters.		EC:3.1.11	
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity	Catalysis of the removal of purines present in mismatches, especially opposite oxidized purines, by cleaving the N-C1' glycosidic bond between the target damaged DNA base and the deoxyribose sugar. The reaction releases a free base and leaves an apurinic (AP) site.		EC:3.2.2	
GO:0008263	pyrimidine-specific mismatch base pair DNA N-glycosylase activity	Catalysis of the removal of mismatched pyrimidine bases in DNA. Enzymes with this activity recognize and remove pyrimidines present in mismatches by cleaving the N-C1' glycosidic bond between the target damaged DNA base and the deoxyribose sugar. The reaction releases a free base and leaves an apyrimidinic (AP) site.			
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	Catalysis of the removal oxidized pyrimidine bases by cleaving the N-C1' glycosidic bond between the oxidized pyrimidine and the deoxyribose sugar. The reaction involves formation of a covalent enzyme-pyrimidine base intermediate. Release of the enzyme and free base by a beta-elimination or a beta, gamma-elimination mechanism results in the cleavage of the DNA backbone 3' of the apyrimidinic (AP) site.			
GO:0008534	oxidized purine nucleobase lesion DNA N-glycosylase activity	Catalysis of the removal of oxidized purine bases by cleaving the N-C1' glycosidic bond between the oxidized purine and the deoxyribose sugar. The reaction involves the formation of a covalent enzyme-substrate intermediate. Release of the enzyme and free base by a beta-elimination or a beta, gamma-elimination mechanism results in the cleavage of the DNA backbone 3' of the apurinic (AP) site.		EC:3.2.2.23	MetaCyc:3.2.2.23-RXN
GO:0004844	uracil DNA N-glycosylase activity	Catalysis of the cleavage of the N-C1' glycosidic bond between the damaged DNA base and the deoxyribose sugar, releasing a free base and leaving an apyrimidinic (AP) site. Enzymes with this activity recognize and remove uracil bases in DNA that result from the deamination of cytosine or the misincorporation of dUTP opposite an adenine.			
GO:0097507	hypoxanthine DNA N-glycosylase activity	DNA N-glycosylase activity acting on deaminated adenine (hypoxanthine).			
GO:0097508	xanthine DNA N-glycosylase activity	DNA N-glycosylase activity acting on deaminated guanine (xanthine).			
GO:0097509	oxanine DNA N-glycosylase activity	DNA N-glycosylase activity acting on deaminated guanine where the resulting base (oxanine) is generated by NO- or HNO2-induced nitrosative deamination.			
GO:0003721	telomerase RNA reverse transcriptase activity	Catalysis of the extension of the 3' end of a DNA strand by one deoxynucleotide at a time. Cannot initiate a chain de novo; uses the RNA subunit of the telomerase enzyme complex as its template.			
GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters	Catalysis of the hydrolysis of ester linkages within ribonucleic acids by creating internal breaks to yield 5'-phosphomonoesters.		EC:3.1.26	
GO:0016892	endoribonuclease activity, producing 3'-phosphomonoesters	Catalysis of the hydrolysis of ester linkages within ribonucleic acids by creating internal breaks to yield 3'-phosphomonoesters.		EC:3.1.27	
GO:0039594	endoribonuclease activity involved in viral induction of host mRNA catabolic process	Any endoribonuclease activity that contributes to the viral-induced catabolism of host mRNA.			
GO:0016896	exoribonuclease activity, producing 5'-phosphomonoesters	Catalysis of the hydrolysis of ester linkages within ribonucleic acids by removing nucleotide residues from the 3' or 5' end to yield 5' phosphomonoesters.		EC:3.1.13	
GO:0016897	exoribonuclease activity, producing 3'-phosphomonoesters	Catalysis of the hydrolysis of ester linkages within ribonucleic acids by removing nucleotide residues from the 3' or 5' end to yield 3' phosphomonoesters.		EC:3.1.14	
GO:0000213	tRNA-intron endonuclease activity	Catalysis of the endonucleolytic cleavage of pre-tRNA, producing 5'-hydroxyl and 2',3'-cyclic phosphate termini, and specifically removing the intron.		EC:3.1.27.9	MetaCyc:3.1.27.9-RXN
GO:0004526	ribonuclease P activity	Catalysis of the endonucleolytic cleavage of RNA, removing 5' extra nucleotides from tRNA precursor.		EC:3.1.26.5	MetaCyc:3.1.26.5-RXN
GO:0004525	ribonuclease III activity	Catalysis of the endonucleolytic cleavage of RNA with 5'-phosphomonoesters and 3'-OH termini; makes two staggered cuts in both strands of dsRNA, leaving a 3' overhang of 2 nt.		EC:3.1.26.3	MetaCyc:3.1.26.3-RXN
GO:0016300	tRNA (uracil) methyltransferase activity	Catalysis of the transfer of a methyl group from a donor to a uracil residue in a tRNA molecule.			
GO:0070037	rRNA (pseudouridine) methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a pseudouridine residue in an rRNA molecule.			
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.		EC:2.7.7.6	MetaCyc:DNA-DIRECTED-RNA-POLYMERASE-RXN
GO:0003968	RNA-directed 5'-3' RNA polymerase activity	Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1); uses an RNA template, i.e. the catalysis of RNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time.		EC:2.7.7.48	MetaCyc:RNA-DIRECTED-RNA-POLYMERASE-RXN
GO:0002196	Ser-tRNA(Ala) hydrolase activity	Catalysis of the hydrolysis of misacylated Ser-tRNA(Ala).			
GO:0043906	Ala-tRNA(Pro) hydrolase activity	Catalysis of the hydrolysis of misacylated Ala-tRNA(Pro).		EC:3.1.1	
GO:0043907	Cys-tRNA(Pro) hydrolase activity	Catalysis of the hydrolysis of misacylated Cys-tRNA(Pro).		EC:3.1.1	
GO:0106026	Gly-tRNA(Ala) hydrolase activity	Catalysis of the hydrolysis of misacylated Gly-tRNA(Ala).			
GO:0106105	Ala-tRNA(Thr) hydrolase activity	Catalysis of the hydrolysis of misacylated ala-tRNA(thr).			
GO:0008404	arachidonic acid 14,15-epoxygenase activity	Catalysis of an NADPH- and oxygen-dependent reaction that converts arachidonic acid to cis-14,15-epoxyeicosatrienoic acid.			
GO:0008405	arachidonic acid 11,12-epoxygenase activity	Catalysis of an NADPH- and oxygen-dependent reaction that converts arachidonic acid to cis-11,12-epoxyeicosatrienoic acid.			
GO:0047026	androsterone dehydrogenase (A-specific) activity	Catalysis of the reaction: NAD(P)+ + androsterone = NAD(P)H + H+ + 5-alpha-androstane-3,17-dione. The reaction is A-specific (i.e. the pro-R hydrogen is transferred from the 4-position of reduced nicotinamide cofactor) with respect to NAD(P)+.		EC:1.1.1.213	MetaCyc:1.1.1.213-RXN
GO:0047042	androsterone dehydrogenase (B-specific) activity	Catalysis of the reaction: NAD(P)+ + androsterone = NAD(P)H + H+ + 5-alpha-androstane-3,17-dione. The reaction is B-specific (i.e. the pro-S hydrogen is transferred from the 4-position of reduced nicotinamide cofactor) with respect to NAD(P)+.		EC:1.1.1.50	MetaCyc:1.1.1.50-RXN
GO:1990362	butanol dehydrogenase activity	Catalysis of the reaction: butanal + NADH + H+ => n-butanol + NAD+.	RHEA:33200		
GO:0019141	2-dehydropantolactone reductase (B-specific) activity	Catalysis of the reaction: (R)-pantolactone + NADP+ = 2-dehydropantolactone + NADPH + H+. The reaction is B-specific (i.e. the pro-S hydrogen is transferred from the 4-position of reduced nicotinamide cofactor) with respect to NADP+.		EC:1.1.1.214	MetaCyc:DEHYDROPANTLACRED-RXN
GO:0047011	2-dehydropantolactone reductase (A-specific) activity	Catalysis of the reaction: (R)-pantolactone + NADP+ = 2-dehydropantolactone + NADPH + H+. The reaction is A-specific (i.e. the pro-R hydrogen is transferred from the 4-position of reduced nicotinamide cofactor) with respect to NADP+.		EC:1.1.1.168	MetaCyc:1.1.1.168-RXN
GO:0047787	delta4-3-oxosteroid 5beta-reductase activity	Catalysis of the reactions: (1) 5beta-cholestan-3-one + NADP+ = cholest-4-en-3-one + NADPH + H+ and (2) 17,21-dihydroxy-5beta-pregnane-3,11,20-trione + NADP+ = cortisone + NADPH + H+.		EC:1.3.1.3	MetaCyc:CHOLESTENONE-5-BETA-REDUCTASE-RXN|MetaCyc:CORTISONE-BETA-REDUCTASE-RXN
GO:0047819	D-glutamate(D-aspartate) oxidase activity	Catalysis of the reaction: D-glutamate + H2O + O2 = 2-oxoglutarate + NH3 + H2O2, and D-aspartate + H2O + O2 = oxaloacetate + NH3 + H2O2.		EC:1.4.3.15	MetaCyc:D-GLUTAMATED-ASPARTATE-OXIDASE-RXN
GO:0003957	NAD(P)+ transhydrogenase (B-specific) activity	Catalysis of the reaction: NADPH + H+ + NAD+ = NADP+ + NADH + H+, driving the transfer of a solute or solutes from one side of a membrane to the other. In the course of the reaction (left to right) one H atom is transferred from inside the cell to outside. The reaction is B-specific (i.e. the pro-S hydrogen is transferred from the 4-position of reduced nicotinamide cofactor) with respect to both NAD+ and NADP+.		EC:1.6.1.1	MetaCyc:PYRNUTRANSHYDROGEN-RXN
GO:0008750	NAD(P)+ transhydrogenase (AB-specific) activity	Catalysis of the reaction: NADPH + H+ + NAD+ = NADP+ + NADH + H+. The reaction is A-specific (i.e. the pro-R hydrogen is transferred from the 4-position of reduced nicotinamide cofactor) with respect to NAD+ and B-specific (i.e. the pro-S hydrogen is transferred) with respect to NADP+.		EC:1.6.1.2	MetaCyc:1.6.1.2-RXN
GO:0016971	flavin-linked sulfhydryl oxidase activity	Catalysis of the formation of disulfide bridges.			
GO:0010437	9,10 (9', 10')-carotenoid-cleaving dioxygenase activity	Catalysis of the oxidative cleavage of carotenoids at the (9, 10) and/or (9', 10') double bond.			
GO:0045549	9-cis-epoxycarotenoid dioxygenase activity	Catalysis of the reactions: a 9-cis-epoxycarotenoid + O2 = 2-cis,4-trans-xanthoxin + a 12'-apo-carotenal; 9-cis-violaxanthin + O2 = 2-cis,4-trans-xanthoxin + (3S,5R,6S)-5,6-epoxy-3-hydroxy-5,6-dihydro-12'-apo-beta-caroten-12'-al; and 9'-cis-neoxanthin + O2 = 2-cis,4-trans-xanthoxin + (3S,5R,6R)-5,6-dihydroxy-6,7-didehydro-5,6-dihydro-12'-apo-beta-caroten-12'-al.		EC:1.13.11.51	
GO:0009383	rRNA (cytosine-C5-)-methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to cytosine to form 5-methylcytosine in small subunit ribosomal RNA.			
GO:0030580	quinone cofactor methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosylmethionine during the synthesis of quinone cofactors such as ubiquinone (coenzyme Q), menaquinone (vitamin K2), plastoquinone and phylloquinone (vitamin K1).			
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	Catalysis of the dimethylation two adjacent A residues in the loop closing the 3'-terminal stem of the 18S rRNA, using S-adenosyl-L-methionine as a methyl donor.			
GO:0016273	arginine N-methyltransferase activity	Enables the transfer of a methyl group from S-adenosyl-L-methionine to an amino group of an arginine residue.		EC:2.1.1.125	
GO:0016278	lysine N-methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to the epsilon-amino group of a lysine residue.			
GO:0010340	carboxyl-O-methyltransferase activity	Catalysis of the transfer of a methyl group to the carboxyl group of an acceptor molecule to form a methyl ester.			
GO:0080076	caffeoyl CoA:S-adenosyl-L-methionine O-methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to the oxygen atom of a caffeoyl CoA molecule.			
GO:0080077	trihydroxyferuloyl spermidine:S-adenosyl-L-methionine O-methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to the oxygen atom of a trihydroxyferuloyl spermidine molecule.			
GO:0080078	tricaffeoyl spermidine:S-adenosyl-L-methionine O-methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to the oxygen atom of a tricaffeoyl spermidine molecule.			
GO:0035797	tellurite methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to tellurite [TeO3(2-)]. Methylated derivatives of tellurite include Te(CH3)2 (dimethyltelluride) and Te2(CH3)2 (dimethylditelluride).			
GO:0043839	lipid A phosphate methyltransferase activity	Catalysis of the transfer of a methyl group from S-adenosylmethionine (SAM) to the 1-phosphate group of lipid A.			
GO:0102707	S-adenosyl-L-methionine:beta-alanine N-methyltransferase activity	Catalysis of the reaction: beta-alanine + S-adenosyl-L-methionine  = H+ + N-methyl-beta-alanine + S-adenosyl-L-homocysteine		EC:2.1.1.49	MetaCyc:RXN-6461
GO:0102708	S-adenosyl-L-methionine:N-methyl-beta-alanine N-methyltransferase activity	Catalysis of the reaction: N-methyl-beta-alanine + S-adenosyl-L-methionine  = H+ + N,N-dimethyl-beta-alanine + S-adenosyl-L-homocysteine			MetaCyc:RXN-6462
GO:0102709	S-adenosyl-L-methionine:N,N-dimethyl-beta-alanine N-methyltransferase activity	Catalysis of the reaction: N,N-dimethyl-beta-alanine + S-adenosyl-L-methionine  = H+ + beta-alanine betaine + S-adenosyl-L-homocysteine			MetaCyc:RXN-6464
GO:0030698	5,10-methylenetetrahydrofolate-dependent tRNA (m5U54) methyltransferase activity	Catalysis of the transfer of a methyl group from 5,10-methylenetetrahydrofolate to the C5 atom of the uridine residue at position 54 in a tRNA molecule. This occurs in most Gram-positive bacteria and some Gram-negative bacteria.			
GO:0016406	carnitine O-acyltransferase activity	Catalysis of the transfer of an acyl group to an oxygen atom on the carnitine molecule.			
GO:0016411	acylglycerol O-acyltransferase activity	Catalysis of the transfer of an acyl group to an oxygen atom on the acylglycerol molecule.			
GO:0016412	serine O-acyltransferase activity	Catalysis of the transfer of an acyl group to an oxygen atom on the serine molecule.		EC:2.3.1.30	
GO:0016413	O-acetyltransferase activity	Catalysis of the transfer of an acetyl group to an oxygen atom on the acceptor molecule.			
GO:0016414	O-octanoyltransferase activity	Catalysis of the transfer of an octanoyl group to an oxygen atom on the acceptor molecule.			
GO:0016416	O-palmitoyltransferase activity	Catalysis of the transfer of a palmitoyl group to an oxygen atom on the acceptor molecule.			
GO:0016750	O-succinyltransferase activity	Catalysis of the transfer of a succinyl group to an oxygen atom on the acceptor molecule.			
GO:0016753	O-sinapoyltransferase activity	Catalysis of the transfer of a sinapoyl group to an oxygen atom on the acceptor molecule.			
GO:0032576	O-linoleoyltransferase activity	Catalysis of the transfer of a linoleoyl ((9Z,12Z)-octadeca-9,12-dienoyl) group to an oxygen atom on the acceptor molecule.			
GO:0034318	alcohol O-acyltransferase activity	Catalysis of the transfer of an acyl group to an oxygen atom on an alcohol acceptor molecule.			
GO:0034323	O-butanoyltransferase activity	Catalysis of the transfer of a butyl group to an oxygen atom on the acceptor molecule.			
GO:0034324	O-hexanoyltransferase activity	Catalysis of the transfer of a hexyl group to an oxygen atom on the acceptor molecule.			
GO:0034325	O-decanoyltransferase activity	Catalysis of the transfer of a decyl group to an oxygen atom on the acceptor molecule.			
GO:0050736	O-malonyltransferase activity	Catalysis of the transfer of a malonyl group to an oxygen atom on the acceptor molecule.			
GO:0050737	O-hydroxycinnamoyltransferase activity	Catalysis of the transfer of a hydroxycinnamoyl group to an oxygen atom on the acceptor molecule.			
GO:0008080	N-acetyltransferase activity	Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule.		EC:2.3.1.5	
GO:0016418	S-acetyltransferase activity	Catalysis of the transfer of an acetyl group to a sulfur atom on the acceptor molecule.		EC:2.3.1.38	
GO:0016453	C-acetyltransferase activity	Catalysis of the transfer of an acetyl group to a carbon atom on the acceptor molecule.			
GO:0043894	acetyl-CoA synthetase acetyltransferase activity	Catalysis of the acetylation of residue Lys609 of the enzyme acetyl-CoA synthetase, using acetyl-CoA as substrate.			
GO:0016454	C-palmitoyltransferase activity	Catalysis of the transfer of a palmitoyl group to a carbon atom on the acceptor molecule.		EC:2.3.1	
GO:0019105	N-palmitoyltransferase activity	Catalysis of the transfer of a palmitoyl group to a nitrogen atom on the acceptor molecule.		EC:2.3.1	
GO:0016749	N-succinyltransferase activity	Catalysis of the transfer of a succinyl group to a nitrogen atom on the acceptor molecule.		EC:2.3.1	
GO:0019186	acyl-CoA N-acyltransferase activity	Catalysis of the transfer of an acyl group from acyl-CoA to a nitrogen atom on an acceptor molecule.		EC:2.3.1	
GO:0050735	N-malonyltransferase activity	Catalysis of the transfer of a malonyl group to a nitrogen atom on the acceptor molecule.			
GO:0061579	N-acyl homoserine lactone synthase activity	Catalyzing the reaction: acyl-[acyl-carrier-protein] + S-adenosyl-L-methionine -> [acyl-carrier- protein] + S-methyl-5'-thioadenosine + N-acyl-L-homoserine lactone.		EC:2.3.1.184	
GO:0080072	spermidine:sinapoyl CoA N-acyltransferase activity	Catalysis of the transfer of a sinapoyl group to a nitrogen atom on the spermidine molecule.			
GO:0080073	spermidine:coumaroyl CoA N-acyltransferase activity	Catalysis of the transfer of a coumaroyl group to a nitrogen atom on the spermidine molecule.			
GO:0080074	spermidine:caffeoyl CoA N-acyltransferase activity	Catalysis of the transfer of a caffeoyl group to a nitrogen atom on the spermidine molecule.			
GO:0080075	spermidine:feruloyl CoA N-acyltransferase activity	Catalysis of the transfer of a feruloyl group to a nitrogen atom on the spermidine molecule.			
GO:0080089	sinapoyl spermidine:sinapoyl CoA N-acyltransferase activity	Catalysis of the transfer of a sinapoyl group to a nitrogen atom on a sinapoyl spermidine molecule resulting in the formation of a disinapoyl spermidine derivative.			
GO:0061990	beta-ketodecanoyl-[acyl-carrier-protein] synthase activity	Catalysis of the reaction: octanoyl-CoA + a malonyl-[acyl-carrier protein] = a 3-oxodecanoyl-[acyl-carrier protein] + CoA + CO2			MetaCyc:RXN-13613
GO:0102555	octanoyl transferase activity (acting on glycine-cleavage complex H protein)	Catalysis of the reaction: [glycine cleavage system lipoyl-carrier protein]-L-lysine + OCTANOYL-ACP = H+ + a [glycine-cleavage complex H protein] N6-octanoyl-L-lysine + a holo-[acyl-carrier protein]		EC:2.3.1.181	MetaCyc:RXN-14966
GO:0016419	S-malonyltransferase activity	Catalysis of the transfer of a malonyl group to a sulfur atom on the acceptor molecule.		EC:2.3.1.39	
GO:0016751	S-succinyltransferase activity	Catalysis of the transfer of a succinyl group to a sulfur atom on the acceptor molecule.			
GO:0018030	peptidyl-lysine N6-myristoyltransferase activity	Catalysis of the transfer of a myristoyl group to the N6 nitrogen atom on a lysine residue of a peptide or protein molecule.		EC:2.3.1	
GO:0042171	lysophosphatidic acid acyltransferase activity	Catalysis of the transfer of acyl groups from an acyl-CoA to lysophosphatidic acid to form phosphatidic acid.			
GO:0071618	lysophosphatidylethanolamine acyltransferase activity	Catalysis of the transfer of acyl groups from an acyl-CoA to lysophosphatidylethanolamine.			
GO:0001888	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-glucosamine + beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-proteoglycan = UDP + alpha-N-acetyl-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-proteoglycan.		EC:2.4.1.223	MetaCyc:2.4.1.223-RXN
GO:0004100	chitin synthase activity	Catalysis of the reaction: UDP-N-acetyl-D-glucosamine + [->4)-N-acetyl-beta-D-glucosaminyl-(1-](n) = UDP + [->4)-N-acetyl-beta-D-glucosaminyl-(1-](n+1).		EC:2.4.1.16	MetaCyc:CHITIN-SYNTHASE-RXN
GO:0033827	high-mannose-oligosaccharide beta-1,4-N-acetylglucosaminyltransferase activity	Catalysis of the transfer of an N-acetyl-D-glucosamine residue from UDP-N-acetyl-D-glucosamine to the 4-position of a mannose linked alpha-1,6 to the core mannose of high-mannose oligosaccharides produced by Dictyostelium discoideum.		EC:2.4.1.197	MetaCyc:2.4.1.197-RXN
GO:0033829	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity	Catalysis of the transfer of a beta-D-GlcNAc residue from UDP-D-GlcNAc to the fucose residue of a fucosylated protein acceptor.		EC:2.4.1.222	MetaCyc:2.4.1.222-RXN
GO:0046981	beta-1,4-mannosylglycolipid beta-1,3-N-acetylglucosaminyltransferase activity	Catalysis of the transfer of N-acetylglucosamine (GlcNAc) in a beta-1,3 linkage to the mannose(beta-1,4)Glc disaccharide core of glycolipids.			
GO:0033207	beta-1,4-N-acetylgalactosaminyltransferase activity	Catalysis of the transfer of an N-acetylgalactosaminyl residue from UDP-N-acetyl-galactosamine to an acceptor molecule, forming a beta-1,4 linkage.			
GO:0035248	alpha-1,4-N-acetylgalactosaminyltransferase activity	Catalysis of the transfer of an N-acetylgalactosaminyl residue from UDP-N-acetyl-galactosamine to an acceptor molecule, forming an alpha-1,4 linkage.			
GO:0047273	galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-galactosamine + alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide = UDP + beta-N-acetyl-D-galactosaminyl-(1->3)-alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide.	RHEA:22252	EC:2.4.1.79	MetaCyc:2.4.1.79-RXN
GO:0046987	N-acetyllactosamine beta-1,3-glucuronosyltransferase activity	Catalysis of the transfer, in a beta 1,3 linkage, of D-glucuronic acid (GlcUA) from UDP-D-glucuronic acid to N-acetyllactosamine (galactosyl beta-1,4-N-acetylglucosamine).			
GO:0046988	asioloorosomucoid beta-1,3-glucuronosyltransferase activity	Catalysis of the transfer, in a beta 1,3 linkage, of D-glucuronic acid (GlcUA) from UDP-GlcUA to asioloorosomucoid.			
GO:0046989	galactosyl beta-1,3 N-acetylgalactosamine beta-1,3-glucuronosyltransferase activity	Catalysis of the transfer, in a beta 1,3 linkage, of D-glucuronic acid (GlcUA) from UDP-GlcUA to the disaccharide galactosyl beta-1,3 N-acetylgalactosamine, a common component of glycoproteins and glycolipids.			
